leg,time,lat,lng,tickLead,tickRace,distance
0,2017-04-15T02:02:49Z,-27.16186000,151.26325000,-3392.0,-4269.0,95.02
0,2017-04-15T02:03:19Z,-27.16191600,151.26318300,-3362.0,-4239.0,95.011
0,2017-04-15T02:03:49Z,-27.16191600,151.26321600,-3332.0,-4209.0,95.013
0,2017-04-15T02:04:19Z,-27.16190000,151.26316000,-3302.0,-4179.0,95.011
0,2017-04-15T02:04:49Z,-27.16190000,151.26311600,-3272.0,-4149.0,95.008
0,2017-04-15T02:05:19Z,-27.16191600,151.26315000,-3242.0,-4119.0,95.009
0,2017-04-15T02:05:49Z,-27.16186000,151.26315000,-3212.0,-4089.0,95.013
0,2017-04-15T02:06:19Z,-27.16190000,151.26318300,-3182.0,-4059.0,95.012
0,2017-04-15T02:06:49Z,-27.16193000,151.26318300,-3152.0,-4029.0,95.01
0,2017-04-15T02:07:19Z,-27.16170000,151.25873000,-3122.0,-3999.0,94.739
0,2017-04-15T02:07:29Z,-27.16163000,151.25726000,-3112.0,-3989.0,94.65
0,2017-04-15T02:07:39Z,-27.16130000,151.25583000,-3102.0,-3979.0,94.584
0,2017-04-15T02:07:49Z,-27.16088300,151.25458300,-3092.0,-3969.0,94.544
0,2017-04-15T02:07:59Z,-27.16010000,151.25351600,-3082.0,-3959.0,94.544
0,2017-04-15T02:08:09Z,-27.15893000,151.25271600,-3072.0,-3949.0,94.595
0,2017-04-15T02:08:19Z,-27.15755000,151.25221600,-3062.0,-3939.0,94.685
0,2017-04-15T02:08:29Z,-27.15615000,151.25235000,-3052.0,-3929.0,94.815
0,2017-04-15T02:08:39Z,-27.15483000,151.25313000,-3042.0,-3919.0,94.978
0,2017-04-15T02:08:49Z,-27.15360000,151.25446000,-3032.0,-3909.0,95.162
0,2017-04-15T02:08:59Z,-27.15301600,151.25625000,-3022.0,-3899.0,95.328
0,2017-04-15T02:09:09Z,-27.15320000,151.25831600,-3012.0,-3889.0,95.439
0,2017-04-15T02:09:19Z,-27.15396000,151.26025000,-3002.0,-3879.0,95.494
0,2017-04-15T02:09:29Z,-27.15530000,151.26185000,-2992.0,-3869.0,95.478
0,2017-04-15T02:09:39Z,-27.15670000,151.26363000,-2982.0,-3859.0,95.477
0,2017-04-15T02:09:49Z,-27.15806000,151.26513000,-2972.0,-3849.0,95.459
0,2017-04-15T02:09:59Z,-27.15961600,151.26650000,-2962.0,-3839.0,95.421
0,2017-04-15T02:10:09Z,-27.16145000,151.26745000,-2952.0,-3829.0,95.333
0,2017-04-15T02:10:19Z,-27.16310000,151.26788300,-2942.0,-3819.0,95.227
0,2017-04-15T02:10:29Z,-27.16461600,151.26753000,-2932.0,-3809.0,95.092
0,2017-04-15T02:10:39Z,-27.16565000,151.26658300,-2922.0,-3799.0,94.945
0,2017-04-15T02:10:49Z,-27.16605000,151.26731600,-2912.0,-3789.0,94.967
0,2017-04-15T02:10:59Z,-27.16543000,151.26681600,-2902.0,-3779.0,94.978
0,2017-04-15T02:11:09Z,-27.16585000,151.26763000,-2892.0,-3769.0,95.005
0,2017-04-15T02:11:19Z,-27.16511600,151.26701600,-2882.0,-3759.0,95.017
0,2017-04-15T02:11:29Z,-27.16386000,151.26640000,-2872.0,-3749.0,95.065
0,2017-04-15T02:11:39Z,-27.16255000,151.26670000,-2862.0,-3739.0,95.193
0,2017-04-15T02:11:49Z,-27.16286000,151.26606000,-2852.0,-3729.0,95.124
0,2017-04-15T02:11:59Z,-27.16310000,151.26726000,-2842.0,-3719.0,95.186
0,2017-04-15T02:12:09Z,-27.16345000,151.26691600,-2832.0,-3709.0,95.134
