fixIdx,time,lat,lng,tickLead,tickRace,zoneIdx,legIdx,distance,area
1,,,,88529.0,,1,0,104.712,0.0
33,,,,88845.0,,33,0,104.683,0.0
34,,,,88847.0,,34,0,104.641,0.0
35,,,,88849.0,,35,0,104.603,0.0
36,,,,88851.0,,36,0,104.563,0.0
37,,,,88853.0,,37,0,104.523,0.0
38,,,,88855.0,,38,0,104.485,0.0
39,,,,88857.0,,39,0,104.445,0.0
40,,,,88859.0,,40,0,104.408,0.0
41,,,,88861.0,,41,0,104.371,0.0
42,,,,88863.0,,42,0,104.335,0.0
43,,,,88865.0,,43,0,104.3,0.0
44,,,,88867.0,,44,0,104.265,0.0
45,,,,88869.0,,45,0,104.231,0.0
46,,,,88871.0,,46,0,104.199,0.0
47,,,,88873.0,,47,0,104.166,0.0
48,,,,88875.0,,48,0,104.133,0.0
49,,,,88877.0,,49,0,104.102,0.0
50,,,,88879.0,,50,0,104.067,0.0
51,,,,88881.0,,51,0,104.032,0.0
52,,,,88883.0,,52,0,103.998,0.0
53,,,,88885.0,,53,0,103.967,0.0
54,,,,88887.0,,54,0,103.937,0.0
55,,,,88889.0,,55,0,103.909,0.0
56,,,,88891.0,,56,0,103.878,0.0
57,,,,88893.0,,57,0,103.847,0.0
58,,,,88895.0,,58,0,103.814,0.0
59,,,,88897.0,,59,0,103.779,0.0
60,,,,88899.0,,60,0,103.739,0.0
61,,,,88901.0,,61,0,103.703,0.0
62,,,,88903.0,,62,0,103.669,0.0
63,,,,88905.0,,63,0,103.636,0.0
64,,,,88907.0,,64,0,103.604,0.0
65,,,,88909.0,,65,0,103.576,0.0
66,,,,88911.0,,66,0,103.549,0.0
67,,,,88913.0,,67,0,103.526,0.0
68,,,,88915.0,,68,0,103.506,0.0
69,,,,88917.0,,69,0,103.493,0.0
70,,,,88919.0,,70,0,103.486,0.0
71,,,,88921.0,,71,0,103.482,0.0
72,,,,88923.0,,72,0,103.478,0.0
73,,,,88925.0,,73,0,103.477,0.0
241,,,,89259.0,,241,0,103.456,0.0
242,,,,89261.0,,242,0,103.432,0.0
243,,,,89263.0,,243,0,103.41,0.0
244,,,,89265.0,,244,0,103.4,0.0
268,,,,89313.0,,268,0,103.391,0.0
269,,,,89315.0,,269,0,103.37,0.0
270,,,,89317.0,,270,0,103.351,0.0
271,,,,89319.0,,271,0,103.334,0.0
272,,,,89321.0,,272,0,103.323,0.0
273,,,,89323.0,,273,0,103.316,0.0
278,,,,89333.0,,278,0,103.313,0.0
279,,,,89335.0,,279,0,103.305,0.0
280,,,,89337.0,,280,0,103.28,0.0
281,,,,89339.0,,281,0,103.249,0.0
282,,,,89341.0,,282,0,103.218,0.0
283,,,,89343.0,,283,0,103.189,0.0
284,,,,89345.0,,284,0,103.162,0.0
285,,,,89348.0,,285,0,103.118,0.0
286,,,,89350.0,,286,0,103.089,0.0
287,,,,89352.0,,287,0,103.054,0.0
288,,,,89354.0,,288,0,103.022,0.0
289,,,,89356.0,,289,0,102.991,0.0
290,,,,89358.0,,290,0,102.96,0.0
291,,,,89360.0,,291,0,102.929,0.0
292,,,,89362.0,,292,0,102.899,0.0
293,,,,89364.0,,293,0,102.869,0.0
294,,,,89366.0,,294,0,102.838,0.0
295,,,,89368.0,,295,0,102.806,0.0
296,,,,89370.0,,296,0,102.773,0.0
297,,,,89372.0,,297,0,102.741,0.0
298,,,,89374.0,,298,0,102.708,0.0
299,,,,89376.0,,299,0,102.669,0.0
300,,,,89378.0,,300,0,102.632,0.0
301,,,,89380.0,,301,0,102.597,0.0
302,,,,89382.0,,302,0,102.566,0.0
303,,,,89384.0,,303,0,102.535,0.0
304,,,,89386.0,,304,0,102.501,0.0
305,,,,89388.0,,305,0,102.467,0.0
306,,,,89390.0,,306,0,102.436,0.0
307,,,,89392.0,,307,0,102.409,0.0
308,,,,89394.0,,308,0,102.393,0.0
309,,,,89396.0,,309,0,102.362,0.0
310,,,,89398.0,,310,0,102.314,0.0
311,,,,89400.0,,311,0,102.278,0.0
312,,,,89402.0,,312,0,102.261,0.0
313,,,,89404.0,,313,0,102.212,0.0
314,,,,89406.0,,314,0,102.179,0.0
315,,,,89408.0,,315,0,102.165,0.0
316,,,,89410.0,,316,0,102.114,0.0
317,,,,89412.0,,317,0,102.077,0.0
318,,,,89414.0,,318,0,102.038,0.0
319,,,,89416.0,,319,0,101.996,0.0
320,,,,89418.0,,320,0,101.955,0.0
321,,,,89420.0,,321,0,101.914,0.0
322,,,,89422.0,,322,0,101.875,0.0
323,,,,89424.0,,323,0,101.855,0.0
324,,,,89426.0,,324,0,101.819,0.0
325,,,,89428.0,,325,0,101.799,0.0
326,,,,89430.0,,326,0,101.735,0.0
327,,,,89432.0,,327,0,101.695,0.0
328,,,,89434.0,,328,0,101.653,0.0
329,,,,89436.0,,329,0,101.612,0.0
330,,,,89438.0,,330,0,101.572,0.0
331,,,,89440.0,,331,0,101.533,0.0
332,,,,89442.0,,332,0,101.492,0.0
333,,,,89444.0,,333,0,101.45,0.0
334,,,,89446.0,,334,0,101.41,0.0
335,,,,89448.0,,335,0,101.364,0.0
336,,,,89450.0,,336,0,101.315,0.0
337,,,,89452.0,,337,0,101.268,0.0
338,,,,89454.0,,338,0,101.225,0.0
339,,,,89456.0,,339,0,101.175,0.0
340,,,,89458.0,,340,0,101.13,0.0
341,,,,89460.0,,341,0,101.087,0.0
342,,,,89462.0,,342,0,101.041,0.0
343,,,,89464.0,,343,0,100.998,0.0
344,,,,89466.0,,344,0,100.96,0.0
345,,,,89468.0,,345,0,100.919,0.0
346,,,,89470.0,,346,0,100.883,0.0
347,,,,89472.0,,347,0,100.843,0.0
348,,,,89474.0,,348,0,100.802,0.0
349,,,,89476.0,,349,0,100.762,0.0
350,,,,89478.0,,350,0,100.721,0.0
351,,,,89480.0,,351,0,100.68,0.0
352,,,,89482.0,,352,0,100.639,0.0
353,,,,89484.0,,353,0,100.602,0.0
354,,,,89486.0,,354,0,100.566,0.0
355,,,,89488.0,,355,0,100.531,0.0
356,,,,89490.0,,356,0,100.493,0.0
357,,,,89492.0,,357,0,100.455,0.0
358,,,,89494.0,,358,0,100.415,0.0
359,,,,89496.0,,359,0,100.377,0.0
360,,,,89498.0,,360,0,100.343,0.0
361,,,,89500.0,,361,0,100.314,0.0
362,,,,89502.0,,362,0,100.286,0.0
363,,,,89504.0,,363,0,100.254,0.0
364,,,,89506.0,,364,0,100.223,0.0
365,,,,89508.0,,365,0,100.196,0.0
366,,,,89510.0,,366,0,100.169,0.0
367,,,,89512.0,,367,0,100.136,0.0
368,,,,89514.0,,368,0,100.096,0.0
369,,,,89516.0,,369,0,100.067,0.0
370,,,,89518.0,,370,0,100.042,0.0
371,,,,89520.0,,371,0,100.021,0.0
372,,,,89522.0,,372,0,99.998,0.0
373,,,,89524.0,,373,0,99.97,0.0
374,,,,89526.0,,374,0,99.937,0.0
375,,,,89528.0,,375,0,99.901,0.0
376,,,,89530.0,,376,0,99.862,0.0
377,,,,89532.0,,377,0,99.82,0.0
378,,,,89534.0,,378,0,99.777,0.0
379,,,,89536.0,,379,0,99.732,0.0
380,,,,89538.0,,380,0,99.69,0.0
381,,,,89540.0,,381,0,99.649,0.0
382,,,,89542.0,,1,1,99.606,4.2997352726889225e-2
383,,,,89544.0,,2,1,99.562,4.3979063071512246e-2
384,,,,89546.0,,3,1,99.519,4.296172425604933e-2
385,,,,89548.0,,4,1,99.477,4.1945634782681325e-2
386,,,,89550.0,,5,1,99.435,4.192886516642957e-2
387,,,,89552.0,,6,1,99.392,4.290978596266976e-2
388,,,,89554.0,,7,1,99.354,3.79056741942691e-2
389,,,,89556.0,,8,1,99.321,3.290706072461796e-2
390,,,,89558.0,,9,1,99.29,3.090342550620457e-2
391,,,,89560.0,,10,1,99.258,3.1890903495141114e-2
392,,,,89562.0,,11,1,99.225,3.2877461811493466e-2
393,,,,89564.0,,12,1,99.186,3.88419547228163e-2
394,,,,89566.0,,13,1,99.145,4.081829695621184e-2
395,,,,89568.0,,14,1,99.102,4.279225765121063e-2
396,,,,89570.0,,15,1,99.061,4.0785542443810364e-2
397,,,,89572.0,,16,1,99.02,4.076957567501124e-2
398,,,,89574.0,,17,1,98.977,4.27411573025698e-2
399,,,,89576.0,,18,1,98.936,4.073681654853308e-2
400,,,,89578.0,,19,1,98.894,4.171382804576772e-2
401,,,,89580.0,,20,1,98.849,4.4674729739458484e-2
402,,,,89582.0,,21,1,98.808,4.068684868535828e-2
403,,,,89584.0,,22,1,98.77,3.7695531840947906e-2
404,,,,89586.0,,23,1,98.734,3.569897820743127e-2
405,,,,89588.0,,24,1,98.702,3.172220787992816e-2
406,,,,89590.0,,25,1,98.671,3.0721768771809283e-2
407,,,,89592.0,,26,1,98.638,3.2693943698548424e-2
408,,,,89594.0,,27,1,98.604,3.3673982700838684e-2
409,,,,89596.0,,28,1,98.57,3.36631248978078e-2
410,,,,89598.0,,29,1,98.538,3.1673042861277506e-2
411,,,,89600.0,,30,1,98.501,3.6609953043551094e-2
412,,,,89602.0,,31,1,98.464,3.6597020682988146e-2
413,,,,89604.0,,32,1,98.43,3.361832255657989e-2
414,,,,89606.0,,33,1,98.392,3.756051786602869e-2
415,,,,89608.0,,34,1,98.355,3.6558963186937236e-2
416,,,,89610.0,,35,1,98.317,3.753356804123708e-2
417,,,,89612.0,,36,1,98.281,3.554553128038281e-2
418,,,,89614.0,,37,1,98.245,3.5533306486193586e-2
419,,,,89616.0,,38,1,98.207,3.749409279346764e-2
420,,,,89618.0,,39,1,98.168,3.8466555235319076e-2
421,,,,89620.0,,40,1,98.129,3.845213446400542e-2
422,,,,89622.0,,41,1,98.092,3.64669199332715e-2
423,,,,89624.0,,42,1,98.053,3.84240744605735e-2
424,,,,89626.0,,43,1,98.012,4.037896549339417e-2
425,,,,89628.0,,44,1,97.972,3.937871656833011e-2
426,,,,89630.0,,45,1,97.935,3.641181420478355e-2
427,,,,89632.0,,46,1,97.9,3.4431717561867345e-2
428,,,,89634.0,,47,1,97.859,4.031954435678737e-2
429,,,,89636.0,,48,1,97.82,3.833791927797521e-2
430,,,,89638.0,,49,1,97.777,4.2253242912155195e-2
431,,,,89640.0,,50,1,97.736,4.0271572467805224e-2
432,,,,89642.0,,51,1,97.693,4.221883511301956e-2
433,,,,89644.0,,52,1,97.654,3.8276288855660895e-2
434,,,,89646.0,,53,1,97.616,3.728097676610686e-2
435,,,,89648.0,,54,1,97.58,3.530622325056277e-2
436,,,,89650.0,,55,1,97.55,2.9412560706662535e-2
437,,,,89652.0,,56,1,97.52,2.940417267975748e-2
438,,,,89654.0,,57,1,97.486,3.331453879510072e-2
439,,,,89656.0,,58,1,97.456,2.9386189469422435e-2
440,,,,89658.0,,59,1,97.424,3.1335998625946666e-2
441,,,,89660.0,,60,1,97.39,3.328396514237263e-2
442,,,,89662.0,,61,1,97.355,3.4251533935570774e-2
443,,,,89664.0,,62,1,97.32,3.4239986153340216e-2
444,,,,89666.0,,63,1,97.283,3.618397667970411e-2
445,,,,89668.0,,64,1,97.248,3.421618537848537e-2
446,,,,89670.0,,65,1,97.211,3.6158814666168375e-2
447,,,,89672.0,,66,1,97.174,3.614586086386313e-2
448,,,,89674.0,,67,1,97.134,3.906199847113424e-2
