fixIdx,time,lat,lng,tickLead,tickRace,zoneIdx,legIdx,distance,area
24,,,,-1836.250716794012,-1836.250716794012,1,0,101.978,0.0
491,,,,-896.250716794012,-896.250716794012,468,0,101.969,0.0
492,,,,-894.250716794012,-894.250716794012,469,0,101.953,0.0
493,,,,-892.250716794012,-892.250716794012,470,0,101.941,0.0
494,,,,-890.250716794012,-890.250716794012,471,0,101.928,0.0
495,,,,-888.250716794012,-888.250716794012,472,0,101.914,0.0
496,,,,-886.250716794012,-886.250716794012,473,0,101.897,0.0
497,,,,-884.250716794012,-884.250716794012,474,0,101.876,0.0
498,,,,-882.250716794012,-882.250716794012,475,0,101.857,0.0
499,,,,-880.250716794012,-880.250716794012,476,0,101.84,0.0
500,,,,-878.250716794012,-878.250716794012,477,0,101.826,0.0
501,,,,-876.250716794012,-876.250716794012,478,0,101.811,0.0
502,,,,-874.250716794012,-874.250716794012,479,0,101.795,0.0
503,,,,-872.250716794012,-872.250716794012,480,0,101.781,0.0
504,,,,-870.250716794012,-870.250716794012,481,0,101.765,0.0
505,,,,-868.250716794012,-868.250716794012,482,0,101.746,0.0
506,,,,-866.250716794012,-866.250716794012,483,0,101.726,0.0
507,,,,-864.250716794012,-864.250716794012,484,0,101.706,0.0
508,,,,-862.250716794012,-862.250716794012,485,0,101.683,0.0
509,,,,-860.250716794012,-860.250716794012,486,0,101.665,0.0
510,,,,-858.250716794012,-858.250716794012,487,0,101.644,0.0
511,,,,-856.250716794012,-856.250716794012,488,0,101.619,0.0
512,,,,-854.250716794012,-854.250716794012,489,0,101.597,0.0
513,,,,-852.250716794012,-852.250716794012,490,0,101.571,0.0
514,,,,-850.250716794012,-850.250716794012,491,0,101.535,0.0
515,,,,-848.250716794012,-848.250716794012,492,0,101.507,0.0
516,,,,-846.250716794012,-846.250716794012,493,0,101.489,0.0
525,,,,-828.250716794012,-828.250716794012,502,0,101.485,0.0
526,,,,-826.250716794012,-826.250716794012,503,0,101.452,0.0
527,,,,-824.250716794012,-824.250716794012,504,0,101.436,0.0
535,,,,-808.250716794012,-808.250716794012,512,0,101.429,0.0
536,,,,-806.250716794012,-806.250716794012,513,0,101.391,0.0
537,,,,-804.250716794012,-804.250716794012,514,0,101.358,0.0
538,,,,-802.250716794012,-802.250716794012,515,0,101.338,0.0
539,,,,-800.250716794012,-800.250716794012,516,0,101.327,0.0
549,,,,-780.250716794012,-780.250716794012,526,0,101.289,0.0
550,,,,-778.250716794012,-778.250716794012,527,0,101.25,0.0
551,,,,-776.250716794012,-776.250716794012,528,0,101.215,0.0
552,,,,-774.250716794012,-774.250716794012,529,0,101.182,0.0
553,,,,-772.250716794012,-772.250716794012,530,0,101.148,0.0
554,,,,-770.250716794012,-770.250716794012,531,0,101.108,0.0
555,,,,-768.250716794012,-768.250716794012,532,0,101.071,0.0
556,,,,-766.250716794012,-766.250716794012,533,0,101.034,0.0
557,,,,-764.250716794012,-764.250716794012,534,0,100.995,0.0
558,,,,-762.250716794012,-762.250716794012,535,0,100.958,0.0
559,,,,-760.250716794012,-760.250716794012,536,0,100.922,0.0
560,,,,-758.250716794012,-758.250716794012,537,0,100.884,0.0
561,,,,-756.250716794012,-756.250716794012,538,0,100.846,0.0
