leg,tickLead,tickRace,distance,area
0,-131.0,-131.0,103.303,0.0
0,-101.0,-101.0,103.24,0.0
0,-70.0,-70.0,103.192,0.0
0,-40.0,-40.0,103.152,0.0
0,-10.0,-10.0,103.134,0.0
0,21.0,21.0,103.131,0.0
0,51.0,51.0,103.128,0.0
0,201.0,201.0,103.116,0.0
0,204.0,204.0,103.099,0.0
0,207.0,207.0,103.092,0.0
0,713.0,713.0,103.067,0.0
0,725.0,725.0,103.04,0.0
0,729.0,729.0,103.038,0.0
0,735.0,735.0,103.035,0.0
0,738.0,738.0,103.011,0.0
0,750.0,750.0,103.004,0.0
0,759.0,759.0,103.003,0.0
0,762.0,762.0,102.994,0.0
0,774.0,774.0,102.973,0.0
0,786.0,786.0,102.954,0.0
0,789.0,789.0,102.953,0.0
0,801.0,801.0,102.928,0.0
0,813.0,813.0,102.92,0.0
0,816.0,816.0,102.889,0.0
0,835.0,835.0,102.861,0.0
0,838.0,838.0,102.81,0.0
0,841.0,841.0,102.764,0.0
0,844.0,844.0,102.714,0.0
0,847.0,847.0,102.662,0.0
0,850.0,850.0,102.628,0.0
0,859.0,859.0,102.622,0.0
0,862.0,862.0,102.587,0.0
0,874.0,874.0,102.554,0.0
0,886.0,886.0,102.527,0.0
0,895.0,895.0,102.507,0.0
0,898.0,898.0,102.503,0.0
0,904.0,904.0,102.492,0.0
0,907.0,907.0,102.451,0.0
0,917.0,917.0,102.439,0.0
0,920.0,920.0,102.406,0.0
0,932.0,932.0,102.384,0.0
0,935.0,935.0,102.359,0.0
0,947.0,947.0,102.338,0.0
0,950.0,950.0,102.314,0.0
0,962.0,962.0,102.286,0.0
0,974.0,974.0,102.255,0.0
0,977.0,977.0,102.229,0.0
0,989.0,989.0,102.22,0.0
0,992.0,992.0,102.194,0.0
0,1005.0,1005.0,102.166,0.0
0,1017.0,1017.0,102.148,0.0
0,1029.0,1029.0,102.132,0.0
0,1032.0,1032.0,102.115,0.0
