fixIdx,time,lat,lng,tickLead,tickRace,zoneIdx,legIdx,distance,area
1,,,,1498.090712219009,1498.090712219009,1,0,101.933,0.0
2,,,,1528.090712219009,1528.090712219009,2,0,101.932,0.0
23,,,,1715.090712219009,1715.090712219009,23,0,101.903,0.0
24,,,,1720.090712219009,1720.090712219009,24,0,101.813,0.0
25,,,,1725.090712219009,1725.090712219009,25,0,101.732,0.0
26,,,,1730.090712219009,1730.090712219009,26,0,101.663,0.0
27,,,,1735.090712219009,1735.090712219009,27,0,101.617,0.0
28,,,,1740.090712219009,1740.090712219009,28,0,101.613,0.0
185,,,,2525.090712219009,2525.090712219009,185,0,101.533,0.0
186,,,,2530.090712219009,2530.090712219009,186,0,101.442,0.0
187,,,,2535.090712219009,2535.090712219009,187,0,101.344,0.0
188,,,,2540.090712219009,2540.090712219009,188,0,101.247,0.0
189,,,,2545.090712219009,2545.090712219009,189,0,101.157,0.0
190,,,,2550.090712219009,2550.090712219009,190,0,101.064,0.0
191,,,,2555.090712219009,2555.090712219009,191,0,100.958,0.0
192,,,,2560.090712219009,2560.090712219009,192,0,100.86,0.0
193,,,,2565.090712219009,2565.090712219009,193,0,100.759,0.0
194,,,,2570.090712219009,2570.090712219009,194,0,100.654,0.0
195,,,,2575.090712219009,2575.090712219009,195,0,100.536,0.0
196,,,,2580.090712219009,2580.090712219009,196,0,100.42,0.0
197,,,,2585.090712219009,2585.090712219009,197,0,100.308,0.0
198,,,,2590.090712219009,2590.090712219009,198,0,100.191,0.0
199,,,,2595.090712219009,2595.090712219009,199,0,100.072,0.0
200,,,,2600.090712219009,2600.090712219009,200,0,99.951,0.0
201,,,,2605.090712219009,2605.090712219009,201,0,99.832,0.0
202,,,,2610.090712219009,2610.090712219009,202,0,99.712,0.0
203,,,,2615.090712219009,2615.090712219009,203,0,99.603,0.0
204,,,,2620.090712219009,2620.090712219009,204,0,99.484,0.0
205,,,,2625.090712219009,2625.090712219009,205,0,99.368,0.0
206,,,,2630.090712219009,2630.090712219009,206,0,99.258,0.0
207,,,,2635.090712219009,2635.090712219009,207,0,99.144,0.0
208,,,,2640.090712219009,2640.090712219009,208,0,99.043,0.0
209,,,,2645.090712219009,2645.090712219009,209,0,98.945,0.0
210,,,,2650.090712219009,2650.090712219009,210,0,98.841,0.0
211,,,,2655.090712219009,2655.090712219009,211,0,98.738,0.0
212,,,,2660.090712219009,2660.090712219009,212,0,98.654,0.0
213,,,,2665.090712219009,2665.090712219009,213,0,98.562,0.0
214,,,,2670.090712219009,2670.090712219009,214,0,98.471,0.0
215,,,,2675.090712219009,2675.090712219009,215,0,98.375,0.0
216,,,,2680.090712219009,2680.090712219009,216,0,98.274,0.0
217,,,,2685.090712219009,2685.090712219009,217,0,98.173,0.0
218,,,,2690.090712219009,2690.090712219009,218,0,98.078,0.0
219,,,,2695.090712219009,2695.090712219009,219,0,97.983,0.0
220,,,,2700.090712219009,2700.090712219009,220,0,97.887,0.0
221,,,,2705.090712219009,2705.090712219009,221,0,97.785,0.0
222,,,,2710.090712219009,2710.090712219009,222,0,97.679,0.0
223,,,,2715.090712219009,2715.090712219009,223,0,97.577,0.0
224,,,,2720.090712219009,2720.090712219009,224,0,97.468,0.0
225,,,,2725.090712219009,2725.090712219009,225,0,97.352,0.0
226,,,,2730.090712219009,2730.090712219009,226,0,97.244,0.0
227,,,,2735.090712219009,2735.090712219009,227,0,97.132,0.0
228,,,,2740.090712219009,2740.090712219009,1,1,97.024,57456.545650734326
