fixIdx,time,lat,lng,tickLead,tickRace,zoneIdx,legIdx,distance,area
10,,,,-2362.270671803435,-2362.270671803435,1,0,119.508,0.0
27,,,,-2277.270671803435,-2277.270671803435,18,0,119.496,0.0
28,,,,-2272.270671803435,-2272.270671803435,19,0,119.455,0.0
29,,,,-2267.270671803435,-2267.270671803435,20,0,119.388,0.0
30,,,,-2262.270671803435,-2262.270671803435,21,0,119.32,0.0
31,,,,-2257.270671803435,-2257.270671803435,22,0,119.249,0.0
32,,,,-2252.270671803435,-2252.270671803435,23,0,119.18,0.0
33,,,,-2247.270671803435,-2247.270671803435,24,0,119.108,0.0
34,,,,-2242.270671803435,-2242.270671803435,25,0,119.035,0.0
35,,,,-2237.270671803435,-2237.270671803435,26,0,118.958,0.0
36,,,,-2232.270671803435,-2232.270671803435,27,0,118.876,0.0
37,,,,-2227.270671803435,-2227.270671803435,28,0,118.795,0.0
38,,,,-2222.270671803435,-2222.270671803435,29,0,118.715,0.0
39,,,,-2217.270671803435,-2217.270671803435,30,0,118.629,0.0
40,,,,-2212.270671803435,-2212.270671803435,31,0,118.542,0.0
41,,,,-2207.270671803435,-2207.270671803435,32,0,118.454,0.0
42,,,,-2202.270671803435,-2202.270671803435,33,0,118.359,0.0
43,,,,-2197.270671803435,-2197.270671803435,34,0,118.271,0.0
44,,,,-2192.270671803435,-2192.270671803435,35,0,118.186,0.0
45,,,,-2187.270671803435,-2187.270671803435,36,0,118.094,0.0
46,,,,-2182.270671803435,-2182.270671803435,37,0,118.005,0.0
47,,,,-2177.270671803435,-2177.270671803435,38,0,117.926,0.0
48,,,,-2172.270671803435,-2172.270671803435,39,0,117.851,0.0
49,,,,-2167.270671803435,-2167.270671803435,40,0,117.778,0.0
50,,,,-2162.270671803435,-2162.270671803435,41,0,117.701,0.0
51,,,,-2157.270671803435,-2157.270671803435,42,0,117.628,0.0
52,,,,-2152.270671803435,-2152.270671803435,43,0,117.558,0.0
53,,,,-2147.270671803435,-2147.270671803435,44,0,117.486,0.0
54,,,,-2142.270671803435,-2142.270671803435,45,0,117.417,0.0
55,,,,-2136.270671803435,-2136.270671803435,46,0,117.348,0.0
56,,,,-2131.270671803435,-2131.270671803435,47,0,117.277,0.0
57,,,,-2126.270671803435,-2126.270671803435,48,0,117.2,0.0
58,,,,-2121.270671803435,-2121.270671803435,49,0,117.128,0.0
59,,,,-2116.270671803435,-2116.270671803435,50,0,117.053,0.0
60,,,,-2111.270671803435,-2111.270671803435,51,0,116.985,0.0
61,,,,-2106.270671803435,-2106.270671803435,52,0,116.938,0.0
62,,,,-2101.270671803435,-2101.270671803435,53,0,116.926,0.0
491,,,,42.729328196565,42.729328196565,482,0,116.896,0.0
492,,,,47.729328196565,47.729328196565,483,0,116.802,0.0
