leg,tickLead,tickRace,distance,area
0,-634.0,-634.0,119.619,0.0
0,-633.0,-633.0,119.606,0.0
0,-632.0,-632.0,119.591,0.0
0,-631.0,-631.0,119.577,0.0
0,-630.0,-630.0,119.56,0.0
0,-629.0,-629.0,119.546,0.0
0,-628.0,-628.0,119.53,0.0
0,-627.0,-627.0,119.517,0.0
0,-626.0,-626.0,119.503,0.0
0,-625.0,-625.0,119.489,0.0
0,-624.0,-624.0,119.476,0.0
0,-623.0,-623.0,119.463,0.0
0,-622.0,-622.0,119.45,0.0
0,-621.0,-621.0,119.437,0.0
0,-620.0,-620.0,119.425,0.0
0,-619.0,-619.0,119.411,0.0
0,-618.0,-618.0,119.399,0.0
0,-617.0,-617.0,119.385,0.0
0,-616.0,-616.0,119.37,0.0
0,-615.0,-615.0,119.359,0.0
0,-614.0,-614.0,119.344,0.0
0,-613.0,-613.0,119.331,0.0
0,-612.0,-612.0,119.32,0.0
0,-611.0,-611.0,119.308,0.0
0,-610.0,-610.0,119.295,0.0
0,-609.0,-609.0,119.283,0.0
0,-608.0,-608.0,119.269,0.0
0,-607.0,-607.0,119.256,0.0
0,-606.0,-606.0,119.243,0.0
0,-605.0,-605.0,119.229,0.0
0,-604.0,-604.0,119.217,0.0
0,-603.0,-603.0,119.205,0.0
0,-602.0,-602.0,119.192,0.0
0,-601.0,-601.0,119.182,0.0
0,-600.0,-600.0,119.167,0.0
0,-599.0,-599.0,119.157,0.0
0,-598.0,-598.0,119.144,0.0
0,-597.0,-597.0,119.133,0.0
0,-596.0,-596.0,119.121,0.0
0,-595.0,-595.0,119.111,0.0
0,-594.0,-594.0,119.099,0.0
0,-593.0,-593.0,119.089,0.0
0,-592.0,-592.0,119.079,0.0
0,-591.0,-591.0,119.071,0.0
0,-590.0,-590.0,119.064,0.0
0,-589.0,-589.0,119.056,0.0
0,-588.0,-588.0,119.049,0.0
0,-587.0,-587.0,119.042,0.0
0,-586.0,-586.0,119.036,0.0
0,-585.0,-585.0,119.028,0.0
0,-584.0,-584.0,119.021,0.0
0,-583.0,-583.0,119.013,0.0
0,-582.0,-582.0,119.005,0.0
0,-581.0,-581.0,118.998,0.0
