fixIdx,time,lat,lng,tickLead,tickRace,zoneIdx,legIdx,distance,area
1,,,,-1872.0,-1872.0,1,0,119.397,0.0
2,,,,-1869.0,-1869.0,2,0,119.356,0.0
3,,,,-1866.0,-1866.0,3,0,119.312,0.0
4,,,,-1863.0,-1863.0,4,0,119.266,0.0
5,,,,-1860.0,-1860.0,5,0,119.217,0.0
6,,,,-1857.0,-1857.0,6,0,119.174,0.0
7,,,,-1854.0,-1854.0,7,0,119.132,0.0
8,,,,-1851.0,-1851.0,8,0,119.089,0.0
9,,,,-1848.0,-1848.0,9,0,119.043,0.0
10,,,,-1845.0,-1845.0,10,0,118.991,0.0
11,,,,-1842.0,-1842.0,11,0,118.939,0.0
12,,,,-1839.0,-1839.0,12,0,118.886,0.0
13,,,,-1836.0,-1836.0,13,0,118.835,0.0
14,,,,-1833.0,-1833.0,14,0,118.78,0.0
15,,,,-1830.0,-1830.0,15,0,118.727,0.0
16,,,,-1827.0,-1827.0,16,0,118.678,0.0
17,,,,-1824.0,-1824.0,17,0,118.631,0.0
18,,,,-1821.0,-1821.0,18,0,118.583,0.0
19,,,,-1818.0,-1818.0,19,0,118.538,0.0
20,,,,-1815.0,-1815.0,20,0,118.493,0.0
21,,,,-1812.0,-1812.0,21,0,118.447,0.0
22,,,,-1809.0,-1809.0,22,0,118.404,0.0
23,,,,-1806.0,-1806.0,23,0,118.358,0.0
24,,,,-1803.0,-1803.0,24,0,118.306,0.0
25,,,,-1800.0,-1800.0,25,0,118.256,0.0
26,,,,-1797.0,-1797.0,26,0,118.208,0.0
27,,,,-1794.0,-1794.0,27,0,118.159,0.0
28,,,,-1791.0,-1791.0,28,0,118.112,0.0
29,,,,-1788.0,-1788.0,29,0,118.068,0.0
30,,,,-1785.0,-1785.0,30,0,118.036,0.0
31,,,,-1782.0,-1782.0,31,0,118.006,0.0
32,,,,-1779.0,-1779.0,32,0,117.977,0.0
33,,,,-1776.0,-1776.0,33,0,117.952,0.0
34,,,,-1773.0,-1773.0,34,0,117.942,0.0
35,,,,-1770.0,-1770.0,35,0,117.94,0.0
641,,,,48.0,48.0,641,0,117.917,0.0
642,,,,51.0,51.0,642,0,117.874,0.0
643,,,,54.0,54.0,643,0,117.833,0.0
644,,,,57.0,57.0,644,0,117.788,0.0
645,,,,60.0,60.0,645,0,117.738,0.0
646,,,,63.0,63.0,646,0,117.69,0.0
647,,,,66.0,66.0,647,0,117.643,0.0
648,,,,69.0,69.0,648,0,117.596,0.0
649,,,,72.0,72.0,649,0,117.545,0.0
650,,,,75.0,75.0,650,0,117.498,0.0
651,,,,78.0,78.0,651,0,117.456,0.0
652,,,,81.0,81.0,652,0,117.414,0.0
653,,,,84.0,84.0,653,0,117.377,0.0
654,,,,87.0,87.0,654,0,117.344,0.0
655,,,,90.0,90.0,655,0,117.308,0.0
656,,,,93.0,93.0,656,0,117.273,0.0
657,,,,96.0,96.0,657,0,117.235,0.0
658,,,,99.0,99.0,658,0,117.2,0.0
659,,,,102.0,102.0,659,0,117.163,0.0
660,,,,105.0,105.0,660,0,117.127,0.0
661,,,,108.0,108.0,661,0,117.095,0.0
662,,,,111.0,111.0,662,0,117.061,0.0
663,,,,114.0,114.0,663,0,117.027,0.0
664,,,,117.0,117.0,664,0,116.995,0.0
665,,,,120.0,120.0,665,0,116.967,0.0
666,,,,123.0,123.0,666,0,116.935,0.0
667,,,,126.0,126.0,667,0,116.897,0.0
668,,,,129.0,129.0,668,0,116.86,0.0
669,,,,132.0,132.0,669,0,116.827,0.0
670,,,,135.0,135.0,670,0,116.791,0.0
671,,,,138.0,138.0,671,0,116.759,0.0
672,,,,141.0,141.0,672,0,116.727,0.0
673,,,,144.0,144.0,673,0,116.692,0.0
674,,,,147.0,147.0,674,0,116.656,0.0
675,,,,150.0,150.0,675,0,116.618,0.0
676,,,,153.0,153.0,676,0,116.581,0.0
677,,,,156.0,156.0,677,0,116.544,0.0
678,,,,159.0,159.0,678,0,116.503,0.0
679,,,,162.0,162.0,679,0,116.46,0.0
680,,,,165.0,165.0,680,0,116.418,0.0
681,,,,168.0,168.0,681,0,116.371,0.0
682,,,,171.0,171.0,682,0,116.325,0.0
683,,,,174.0,174.0,683,0,116.28,0.0
684,,,,177.0,177.0,684,0,116.231,0.0
685,,,,180.0,180.0,685,0,116.183,0.0
686,,,,183.0,183.0,686,0,116.14,0.0
687,,,,186.0,186.0,687,0,116.1,0.0
688,,,,189.0,189.0,688,0,116.056,0.0
689,,,,192.0,192.0,689,0,116.011,0.0
690,,,,195.0,195.0,690,0,115.97,0.0
691,,,,198.0,198.0,691,0,115.934,0.0
692,,,,201.0,201.0,692,0,115.929,0.0
698,,,,219.0,219.0,698,0,115.906,0.0
705,,,,240.0,240.0,705,0,115.888,0.0
706,,,,243.0,243.0,706,0,115.883,0.0
713,,,,264.0,264.0,713,0,115.877,0.0
745,,,,360.0,360.0,745,0,115.859,0.0
746,,,,363.0,363.0,746,0,115.825,0.0
747,,,,366.0,366.0,747,0,115.789,0.0
748,,,,369.0,369.0,748,0,115.759,0.0
749,,,,372.0,372.0,749,0,115.737,0.0
750,,,,375.0,375.0,750,0,115.722,0.0
751,,,,378.0,378.0,751,0,115.709,0.0
752,,,,381.0,381.0,752,0,115.698,0.0
753,,,,384.0,384.0,753,0,115.689,0.0
754,,,,387.0,387.0,754,0,115.683,0.0
755,,,,390.0,390.0,755,0,115.674,0.0
756,,,,393.0,393.0,756,0,115.662,0.0
757,,,,396.0,396.0,757,0,115.652,0.0
758,,,,399.0,399.0,758,0,115.638,0.0
759,,,,402.0,402.0,759,0,115.628,0.0
760,,,,405.0,405.0,760,0,115.626,0.0
761,,,,408.0,408.0,761,0,115.623,0.0
762,,,,411.0,411.0,762,0,115.614,0.0
763,,,,414.0,414.0,763,0,115.595,0.0
764,,,,417.0,417.0,764,0,115.581,0.0
765,,,,420.0,420.0,765,0,115.58,0.0
766,,,,423.0,423.0,766,0,115.575,0.0
767,,,,426.0,426.0,767,0,115.561,0.0
768,,,,429.0,429.0,768,0,115.531,0.0
769,,,,432.0,432.0,769,0,115.495,0.0
770,,,,435.0,435.0,770,0,115.456,0.0
771,,,,438.0,438.0,771,0,115.413,0.0
772,,,,441.0,441.0,772,0,115.366,0.0
773,,,,444.0,444.0,773,0,115.317,0.0
774,,,,447.0,447.0,774,0,115.276,0.0
775,,,,450.0,450.0,775,0,115.259,0.0
798,,,,519.0,519.0,798,0,115.255,0.0
799,,,,522.0,522.0,799,0,115.214,0.0
800,,,,525.0,525.0,800,0,115.183,0.0
801,,,,528.0,528.0,801,0,115.158,0.0
802,,,,531.0,531.0,802,0,115.141,0.0
803,,,,534.0,534.0,803,0,115.12,0.0
804,,,,537.0,537.0,804,0,115.081,0.0
805,,,,540.0,540.0,805,0,115.039,0.0
806,,,,543.0,543.0,806,0,114.989,0.0
807,,,,546.0,546.0,807,0,114.937,0.0
808,,,,549.0,549.0,808,0,114.891,0.0
809,,,,552.0,552.0,809,0,114.863,0.0
810,,,,555.0,555.0,810,0,114.849,0.0
1039,,,,1242.0,1242.0,1039,0,114.807,0.0
1040,,,,1245.0,1245.0,1040,0,114.756,0.0
1041,,,,1248.0,1248.0,1041,0,114.699,0.0
1042,,,,1251.0,1251.0,1,1,114.634,7.919514216898288e-4
1043,,,,1254.0,1254.0,2,1,114.573,7.445889255414604e-4
1044,,,,1257.0,1257.0,3,1,114.516,6.970688792340347e-4
1045,,,,1258.0,1258.0,4,1,114.498,2.2023001210544067e-4
1046,,,,1261.0,1261.0,5,1,114.438,7.356000526047108e-4
1047,,,,1264.0,1264.0,6,1,114.383,6.755647285616315e-4
1048,,,,1267.0,1267.0,7,1,114.327,6.891458099378781e-4
1049,,,,1270.0,1270.0,8,1,114.272,6.781129853581519e-4
1050,,,,1273.0,1273.0,9,1,114.218,6.670381684670495e-4
1051,,,,1276.0,1276.0,10,1,114.162,6.930396693342012e-4
1052,,,,1279.0,1279.0,11,1,114.106,6.943283997861504e-4
1053,,,,1282.0,1282.0,12,1,114.053,6.583590708760761e-4
1054,,,,1285.0,1285.0,13,1,113.998,6.844774142884209e-4
1055,,,,1288.0,1288.0,14,1,113.947,6.358833208441738e-4
1056,,,,1291.0,1291.0,15,1,113.889,7.244991951294267e-4
1057,,,,1294.0,1294.0,16,1,113.832,7.133021588679414e-4
1058,,,,1297.0,1297.0,17,1,113.774,7.271315689641236e-4
1059,,,,1300.0,1300.0,18,1,113.716,7.284420044469159e-4
1060,,,,1303.0,1303.0,19,1,113.656,7.549079034174655e-4
1061,,,,1306.0,1306.0,20,1,113.601,6.93241350915355e-4
1062,,,,1309.0,1309.0,21,1,113.542,7.449932533629574e-4
1063,,,,1312.0,1312.0,22,1,113.479,7.968961726996182e-4
1064,,,,1315.0,1315.0,23,1,113.415,8.10942501708363e-4
1065,,,,1318.0,1318.0,24,1,113.355,7.615765882612935e-4
1066,,,,1321.0,1321.0,25,1,113.301,6.866337109506538e-4
1067,,,,1324.0,1324.0,26,1,113.239,7.897431996319134e-4
1068,,,,1327.0,1327.0,27,1,113.178,7.783431609937782e-4
1069,,,,1330.0,1330.0,28,1,113.118,7.669041589432271e-4
1070,,,,1333.0,1333.0,29,1,113.062,7.170240129487168e-4
1071,,,,1336.0,1336.0,30,1,113.005,7.311050926339129e-4
1072,,,,1339.0,1339.0,31,1,112.945,7.709132271001387e-4
1073,,,,1342.0,1342.0,32,1,112.883,7.979640351438521e-4
1074,,,,1345.0,1345.0,33,1,112.823,7.735314273407622e-4
1075,,,,1348.0,1348.0,34,1,112.761,8.00665653994706e-4
1076,,,,1351.0,1351.0,35,1,112.702,7.632098491092524e-4
