fixIdx,legIdx,tickLead,togo,area
3748,1,1943.41386705168,98.391,2677.0973003791096
3749,1,1944.41386705168,98.379,4591.2277994372835
3750,1,1945.41386705168,98.367,4593.028760243572
3751,1,1946.41386705168,98.356,4211.948126851871
3752,1,1947.41386705168,98.343,4979.706683054139
3753,1,1948.41386705168,98.33,4981.6052061725195
3754,1,1949.41386705168,98.317,4983.503053285457
3755,1,1950.41386705168,98.302,5752.326361882282
3756,1,1951.41386705168,98.288,5370.798329735495
3757,1,1952.41386705168,98.273,5756.5263318233965
3758,1,1953.41386705168,98.259,5374.716677669996
3759,1,1954.41386705168,98.244,5760.722821759063
3760,1,1955.41386705168,98.231,4994.469213878734
3761,1,1956.41386705168,98.218,4996.362120986209
3762,1,1957.41386705168,98.205,4998.254352104608
3763,1,1958.41386705168,98.19,5769.340371294439
3764,1,1959.41386705168,98.177,5001.9348968039285
3765,1,1960.41386705168,98.162,5773.585473646116
3766,1,1961.41386705168,98.148,5390.6321873766665
3767,1,1962.41386705168,98.134,5392.611261135309
3768,1,1963.41386705168,98.122,4623.981022705309
3769,1,1964.41386705168,98.107,5782.124530765481
3770,1,1965.41386705168,98.094,5013.010159684303
3771,1,1966.41386705168,98.08,5400.629835368325
3772,1,1967.41386705168,98.068,4630.85154233361
3773,1,1968.41386705168,98.055,5018.666027017629
3774,1,1969.41386705168,98.042,5020.549964136053
3775,1,1970.41386705168,98.027,5795.056147484557
3776,1,1971.41386705168,98.016,4251.300776120868
3777,1,1972.41386705168,98.001,5799.399734668257
3778,1,1973.41386705168,97.987,5414.716117664015
3779,1,1974.41386705168,97.974,5029.80550541361
3780,1,1975.41386705168,97.96,5418.710368780527
3781,1,1976.41386705168,97.947,5033.513048878937
3782,1,1977.41386705168,97.937,3873.4373793374943
3783,1,1978.41386705168,97.924,5037.423539386438
3784,1,1979.41386705168,97.912,4651.68592881537
3785,1,1980.41386705168,97.898,5428.987750307332
3786,1,1981.41386705168,97.887,4267.242253566169
3787,1,1982.41386705168,97.876,4268.916144410342
3788,1,1983.41386705168,97.865,4270.589551260032
3789,1,1984.41386705168,97.854,4272.262474098688
3790,1,1985.41386705168,97.842,4662.450625518723
3791,1,1986.41386705168,97.831,4275.563166681958
3792,1,1987.41386705168,97.819,4666.0502770641115
3793,1,1988.41386705168,97.809,3889.8942798378507
3794,1,1989.41386705168,97.797,4669.695466542308
3795,1,1990.41386705168,97.787,3892.9310577308174
3796,1,1991.41386705168,97.776,4283.915570908356
3797,1,1992.41386705168,97.765,4285.584599746995
3798,1,1993.41386705168,97.756,3507.7884542984366
3799,1,1994.41386705168,97.745,4289.008959645491
3800,1,1995.41386705168,97.734,4290.6765804952065
3801,1,1996.41386705168,97.721,5072.7179409961145
3802,1,1997.41386705168,97.71,4293.922483973406
3803,1,1998.41386705168,97.697,5076.552760743072
3804,1,1999.41386705168,97.686,4297.166275446055
3805,1,2000.41386705168,97.673,5080.385084495583
3806,1,2001.41386705168,97.661,4691.330115680252
3807,1,2002.41386705168,97.647,5475.224265644169
3808,1,2003.41386705168,97.634,5085.972623834395
3809,1,2004.41386705168,97.619,5870.517311751848
3810,1,2005.41386705168,97.606,5089.589988539182
3811,1,2006.41386705168,97.591,5874.689514103524
3812,1,2007.41386705168,97.577,5484.961294464743
3813,1,2008.41386705168,97.564,5095.010575596364
3814,1,2009.41386705168,97.549,5880.941517625468
3815,1,2010.41386705168,97.534,5882.963526390867
3816,1,2011.41386705168,97.52,5492.680485938503
3817,1,2012.41386705168,97.506,5494.622375697042
3818,1,2013.41386705168,97.492,5496.563481461158
3819,1,2014.41386705168,97.477,5891.223858678209
3820,1,2015.41386705168,97.463,5500.386909406693
3821,1,2016.41386705168,97.448,5895.318648613873
3822,1,2017.41386705168,97.433,5897.334477368113
3823,1,2018.41386705168,97.419,5506.08770352249
3824,1,2019.41386705168,97.405,5508.024021281016
3825,1,2020.41386705168,97.39,5903.497788485204
3826,1,2021.41386705168,97.377,5118.161290374768
3827,1,2022.41386705168,97.362,5907.64281083688
3828,1,2023.41386705168,97.347,5909.653359596707
3829,1,2024.41386705168,97.333,5517.580482925036
3830,1,2025.41386705168,97.317,6307.948947547859
3831,1,2026.41386705168,97.302,5915.679605870583
3832,1,2027.41386705168,97.288,5523.202501458157
3833,1,2028.41386705168,97.274,5525.1316232166655
3834,1,2029.41386705168,97.259,5921.819516987692
3835,1,2030.41386705168,97.245,5528.930663156619
3836,1,2031.41386705168,97.228,6715.9375324454
3837,1,2032.41386705168,97.214,5532.612639920016
3838,1,2033.41386705168,97.197,6720.406396223912
3839,1,2034.41386705168,97.185,4745.4412356630555
3840,1,2035.41386705168,97.173,4747.187620469345
3841,1,2036.41386705168,97.16,5144.651408336873
3842,1,2037.41386705168,97.147,5146.489091444185
3843,1,2038.41386705168,97.132,5940.315115154225
3844,1,2039.41386705168,97.12,4753.922670030455
3845,1,2040.41386705168,97.103,6737.020142510443
3846,1,2041.41386705168,97.087,6342.754541480736
3847,1,2042.41386705168,97.073,5551.771069978526
3848,1,2043.41386705168,97.058,5950.3496613637335
3849,1,2044.41386705168,97.045,5158.749242874394
3850,1,2045.41386705168,97.03,5954.455443721047
3851,1,2046.41386705168,97.017,5162.306131579182
3852,1,2047.41386705168,97.002,5958.557866072724
3853,1,2048.41386705168,96.988,5563.205284969304
3854,1,2049.41386705168,96.972,6360.069018455625
3855,1,2050.41386705168,96.957,5964.520662352204
3856,1,2051.41386705168,96.943,5568.768083496817
3857,1,2052.41386705168,96.928,5968.55293228787
3858,1,2053.41386705168,96.915,5174.518754998109
3859,1,2054.41386705168,96.9,5972.643354639547
3860,1,2055.41386705168,96.887,5178.062331708554
3861,1,2056.41386705168,96.873,5578.310512317394
3862,1,2057.41386705168,96.858,5978.772688167062
3863,1,2058.41386705168,96.842,6379.436256768697
3864,1,2059.41386705168,96.828,5583.853570844906
3865,1,2060.41386705168,96.813,5984.709024446543
3866,1,2061.41386705168,96.8,5188.514799541287
3867,1,2062.41386705168,96.787,5190.334672648551
3868,1,2063.41386705168,96.773,5591.52143349532
3869,1,2064.41386705168,96.758,5992.921201565907
3870,1,2065.41386705168,96.743,5994.894730325734
3871,1,2066.41386705168,96.729,5597.1051316054345
3872,1,2067.41386705168,96.715,5599.003313369551
3873,1,2068.41386705168,96.703,4800.8216800490045
3874,1,2069.41386705168,96.689,5602.913212080022
3875,1,2070.41386705168,96.678,4403.846900530274
3876,1,2071.41386705168,96.664,5606.878198367398
3877,1,2072.41386705168,96.651,5208.1729272203365
3878,1,2073.41386705168,96.638,5209.985208327579
3879,1,2074.41386705168,96.625,5211.796813446212
3880,1,2075.41386705168,96.611,5614.625436188691
3881,1,2076.41386705168,96.596,6017.665410172037
3882,1,2077.41386705168,96.581,6019.628678931864
3883,1,2078.41386705168,96.568,5218.766280095244
3884,1,2079.41386705168,96.553,6023.677281283541
3885,1,2080.41386705168,96.539,5623.957841832712
3886,1,2081.41386705168,96.525,5625.845215596827
3887,1,2082.41386705168,96.511,5627.731805366655
3888,1,2083.41386705168,96.497,5629.617611125058
3889,1,2084.41386705168,96.482,6033.721554746721
3890,1,2085.41386705168,96.469,5230.974983801457
3891,1,2086.41386705168,96.454,6037.7583370983975
3892,1,2087.41386705168,96.441,5234.472072500523
3893,1,2088.41386705168,96.426,6041.791759450074
3894,1,2089.41386705168,96.413,5237.966249211033
3895,1,2090.41386705168,96.401,4836.732712340615
3896,1,2091.41386705168,96.387,5644.792952414534
3897,1,2092.41386705168,96.374,5243.365262549844
3898,1,2093.41386705168,96.358,6455.485462790092
3899,1,2094.41386705168,96.344,5650.368374124338
3900,1,2095.41386705168,96.329,6055.945140096954
3901,1,2096.41386705168,96.313,6461.717762821534
3902,1,2097.41386705168,96.298,6059.774735200596
3903,1,2098.41386705168,96.283,6061.719613960424
3904,1,2099.41386705168,96.267,6467.874241614975
3905,1,2100.41386705168,96.252,6065.543659064066
3906,1,2101.41386705168,96.236,6471.951239053114
3907,1,2102.41386705168,96.22,6473.9546111589325
