fixIdx,legIdx,zoneIdx,tickLead,tickRace,time,lat,lng,alt,togo
1,,,,,2017-04-15T02:06:25Z,-27.16171667,151.26343333,298.00,
2,,,,,2017-04-15T02:06:55Z,-27.16171667,151.26338333,299.00,
3,,,,,2017-04-15T02:07:25Z,-27.16173333,151.26330000,299.00,
4,,,,,2017-04-15T02:07:55Z,-27.16171667,151.26321667,299.00,
5,,,,,2017-04-15T02:08:25Z,-27.16171667,151.26321667,299.00,
6,,,,,2017-04-15T02:08:55Z,-27.16171667,151.26323333,299.00,
7,,,,,2017-04-15T02:09:25Z,-27.16171667,151.26323333,299.00,
8,,,,,2017-04-15T02:09:55Z,-27.16171667,151.26323333,299.00,
9,,,,,2017-04-15T02:10:25Z,-27.16171667,151.26323333,300.00,
10,,,,,2017-04-15T02:10:55Z,-27.16171667,151.26323333,300.00,
11,,,,,2017-04-15T02:11:25Z,-27.16140000,151.26061667,332.00,
12,,,,,2017-04-15T02:11:35Z,-27.16113333,151.25928333,350.00,
13,,,,,2017-04-15T02:11:45Z,-27.16106667,151.25786667,367.00,
14,,,,,2017-04-15T02:11:55Z,-27.16151667,151.25641667,388.00,
15,,,,,2017-04-15T02:12:05Z,-27.16230000,151.25503333,404.00,
16,,,,,2017-04-15T02:12:15Z,-27.16311667,151.25353333,418.00,
17,,,,,2017-04-15T02:12:26Z,-27.16375000,151.25200000,432.00,
18,,,,,2017-04-15T02:12:36Z,-27.16485000,151.25058333,444.00,
19,,,,,2017-04-15T02:12:46Z,-27.16668333,151.25063333,457.00,
20,,,,,2017-04-15T02:12:56Z,-27.16801667,151.25211667,470.00,
21,,,,,2017-04-15T02:13:06Z,-27.16831667,151.25410000,487.00,
22,,,,,2017-04-15T02:13:16Z,-27.16761667,151.25586667,506.00,
23,,,,,2017-04-15T02:13:26Z,-27.16690000,151.25761667,522.00,
24,,,,,2017-04-15T02:13:36Z,-27.16615000,151.25960000,547.00,
25,,,,,2017-04-15T02:13:46Z,-27.16538333,151.26145000,578.00,
26,,,,,2017-04-15T02:13:56Z,-27.16468333,151.26333333,615.00,
27,,,,,2017-04-15T02:14:06Z,-27.16408333,151.26533333,647.00,
28,,,,,2017-04-15T02:14:16Z,-27.16343333,151.26741667,679.00,
29,,,,,2017-04-15T02:14:26Z,-27.16235000,151.26923333,724.00,
30,,,,,2017-04-15T02:14:36Z,-27.16091667,151.26988333,738.00,
31,,,,,2017-04-15T02:14:46Z,-27.15985000,151.26903333,759.00,
32,,,,,2017-04-15T02:14:56Z,-27.16005000,151.26743333,771.00,
33,,,,,2017-04-15T02:15:06Z,-27.16163333,151.26671667,792.00,
34,,,,,2017-04-15T02:15:16Z,-27.16323333,151.26673333,833.00,
35,,,,,2017-04-15T02:15:26Z,-27.16298333,151.26745000,834.00,
36,,,,,2017-04-15T02:15:36Z,-27.16320000,151.26720000,842.00,
37,,,,,2017-04-15T02:15:46Z,-27.16238333,151.26778333,842.00,
38,,,,,2017-04-15T02:15:56Z,-27.16228333,151.26678333,828.00,
39,,,,,2017-04-15T02:16:06Z,-27.16338333,151.26600000,821.00,
40,,,,,2017-04-15T02:16:16Z,-27.16433333,151.26703333,835.00,
41,,,,,2017-04-15T02:16:26Z,-27.16420000,151.26865000,847.00,
42,,,,,2017-04-15T02:16:36Z,-27.16396667,151.26858333,853.00,
43,,,,,2017-04-15T02:16:46Z,-27.16488333,151.26948333,868.00,
44,,,,,2017-04-15T02:16:56Z,-27.16485000,151.26946667,886.00,
45,,,,,2017-04-15T02:17:06Z,-27.16468333,151.27048333,905.00,
46,,,,,2017-04-15T02:17:16Z,-27.16535000,151.27058333,924.00,
47,,,,,2017-04-15T02:17:26Z,-27.16480000,151.27080000,941.00,
48,,,,,2017-04-15T02:17:37Z,-27.16576667,151.27133333,958.00,
49,,,,,2017-04-15T02:17:47Z,-27.16583333,151.27131667,978.00,
50,,,,,2017-04-15T02:17:57Z,-27.16586667,151.27138333,995.00,
51,,,,,2017-04-15T02:18:07Z,-27.16581667,151.27220000,1008.00,
52,,,,,2017-04-15T02:18:17Z,-27.16640000,151.27201667,1023.00,
53,,,,,2017-04-15T02:18:27Z,-27.16601667,151.27313333,1021.00,
54,,,,,2017-04-15T02:18:37Z,-27.16561667,151.27220000,1026.00,
55,,,,,2017-04-15T02:18:47Z,-27.16583333,151.27300000,1040.00,
56,,,,,2017-04-15T02:18:57Z,-27.16636667,151.27366667,1048.00,
57,,,,,2017-04-15T02:19:07Z,-27.16570000,151.27340000,1042.00,
58,,,,,2017-04-15T02:19:17Z,-27.16615000,151.27235000,1032.00,
59,,,,,2017-04-15T02:19:27Z,-27.16771667,151.27291667,1031.00,
60,,,,,2017-04-15T02:19:37Z,-27.16783333,151.27301667,1033.00,
61,,,,,2017-04-15T02:19:47Z,-27.16858333,151.27388333,1041.00,
62,,,,,2017-04-15T02:19:57Z,-27.16755000,151.27371667,1043.00,
63,,,,,2017-04-15T02:20:07Z,-27.16818333,151.27286667,1038.00,
64,,,,,2017-04-15T02:20:17Z,-27.16960000,151.27240000,1044.00,
65,,,,,2017-04-15T02:20:27Z,-27.17043333,151.27135000,1050.00,
66,,,,,2017-04-15T02:20:37Z,-27.17105000,151.27026667,1041.00,
67,,,,,2017-04-15T02:20:47Z,-27.17043333,151.26991667,1017.00,
68,,,,,2017-04-15T02:20:57Z,-27.16941667,151.27063333,1009.00,
69,,,,,2017-04-15T02:21:07Z,-27.16850000,151.27175000,1012.00,
70,,,,,2017-04-15T02:21:17Z,-27.16735000,151.27213333,1018.00,
