fixIdx,time,lat,lng,alt,tickLead,tickRace,zoneIdx,legIdx,togo,area
1,2017-04-15T01:56:46Z,-27.16186667,151.26368333,0.00,,,,,,
2,2017-04-15T01:56:48Z,-27.16185000,151.26370000,0.00,,,,,,
3,2017-04-15T01:56:50Z,-27.16185000,151.26370000,0.00,,,,,,
4,2017-04-15T01:56:52Z,-27.16185000,151.26371667,0.00,,,,,,
5,2017-04-15T01:56:54Z,-27.16185000,151.26371667,0.00,,,,,,
6,2017-04-15T01:56:56Z,-27.16185000,151.26371667,0.00,,,,,,
7,2017-04-15T01:56:58Z,-27.16185000,151.26371667,0.00,,,,,,
8,2017-04-15T01:57:00Z,-27.16185000,151.26371667,0.00,,,,,,
9,2017-04-15T01:57:02Z,-27.16186667,151.26365000,0.00,,,,,,
10,2017-04-15T01:57:04Z,-27.16186667,151.26363333,0.00,,,,,,
11,2017-04-15T01:57:06Z,-27.16186667,151.26363333,0.00,,,,,,
12,2017-04-15T01:57:08Z,-27.16188333,151.26361667,0.00,,,,,,
13,2017-04-15T01:57:10Z,-27.16188333,151.26363333,0.00,,,,,,
14,2017-04-15T01:57:12Z,-27.16188333,151.26363333,0.00,,,,,,
15,2017-04-15T01:57:14Z,-27.16188333,151.26363333,0.00,,,,,,
16,2017-04-15T01:57:16Z,-27.16188333,151.26365000,0.00,,,,,,
17,2017-04-15T01:57:18Z,-27.16188333,151.26365000,0.00,,,,,,
18,2017-04-15T01:57:20Z,-27.16188333,151.26365000,0.00,,,,,,
19,2017-04-15T01:57:22Z,-27.16188333,151.26365000,0.00,,,,,,
20,2017-04-15T01:57:24Z,-27.16188333,151.26365000,0.00,,,,,,
21,2017-04-15T01:57:26Z,-27.16188333,151.26365000,0.00,,,,,,
22,2017-04-15T01:57:28Z,-27.16188333,151.26363333,0.00,,,,,,
23,2017-04-15T01:57:30Z,-27.16188333,151.26363333,0.00,,,,,,
24,2017-04-15T01:57:32Z,-27.16188333,151.26363333,0.00,,,,,,
25,2017-04-15T01:57:34Z,-27.16188333,151.26363333,0.00,,,,,,
26,2017-04-15T01:57:36Z,-27.16188333,151.26365000,0.00,,,,,,
27,2017-04-15T01:57:38Z,-27.16188333,151.26365000,0.00,,,,,,
28,2017-04-15T01:57:40Z,-27.16188333,151.26363333,0.00,,,,,,
29,2017-04-15T01:57:42Z,-27.16188333,151.26363333,0.00,,,,,,
30,2017-04-15T01:57:44Z,-27.16188333,151.26363333,0.00,,,,,,
31,2017-04-15T01:57:46Z,-27.16188333,151.26363333,0.00,,,,,,
32,2017-04-15T01:57:48Z,-27.16188333,151.26363333,0.00,,,,,,
33,2017-04-15T01:57:50Z,-27.16188333,151.26363333,0.00,,,,,,
34,2017-04-15T01:57:52Z,-27.16188333,151.26363333,0.00,,,,,,
35,2017-04-15T01:57:54Z,-27.16188333,151.26363333,0.00,,,,,,
36,2017-04-15T01:57:56Z,-27.16186667,151.26363333,0.00,,,,,,
37,2017-04-15T01:57:58Z,-27.16188333,151.26361667,0.00,,,,,,
38,2017-04-15T01:58:00Z,-27.16186667,151.26361667,0.00,,,,,,
39,2017-04-15T01:58:02Z,-27.16186667,151.26361667,0.00,,,,,,
40,2017-04-15T01:58:04Z,-27.16186667,151.26360000,0.00,,,,,,
41,2017-04-15T01:58:06Z,-27.16186667,151.26360000,0.00,,,,,,
42,2017-04-15T01:58:08Z,-27.16186667,151.26360000,0.00,,,,,,
43,2017-04-15T01:58:10Z,-27.16186667,151.26360000,0.00,,,,,,
44,2017-04-15T01:58:12Z,-27.16186667,151.26360000,0.00,,,,,,
45,2017-04-15T01:58:14Z,-27.16186667,151.26360000,0.00,,,,,,
46,2017-04-15T01:58:16Z,-27.16186667,151.26360000,0.00,,,,,,
47,2017-04-15T01:58:18Z,-27.16186667,151.26360000,0.00,,,,,,
48,2017-04-15T01:58:20Z,-27.16186667,151.26360000,0.00,,,,,,
49,2017-04-15T01:58:22Z,-27.16186667,151.26360000,0.00,,,,,,
50,2017-04-15T01:58:24Z,-27.16186667,151.26360000,0.00,,,,,,
51,2017-04-15T01:58:26Z,-27.16186667,151.26358333,0.00,,,,,,
52,2017-04-15T01:58:28Z,-27.16186667,151.26358333,0.00,,,,,,
53,2017-04-15T01:58:30Z,-27.16186667,151.26358333,0.00,,,,,,
54,2017-04-15T01:58:32Z,-27.16186667,151.26360000,0.00,,,,,,
55,2017-04-15T01:58:34Z,-27.16186667,151.26360000,0.00,,,,,,
56,2017-04-15T01:58:36Z,-27.16186667,151.26358333,0.00,,,,,,
57,2017-04-15T01:58:38Z,-27.16186667,151.26358333,0.00,,,,,,
58,2017-04-15T01:58:40Z,-27.16186667,151.26358333,0.00,,,,,,
59,2017-04-15T01:58:42Z,-27.16186667,151.26358333,0.00,,,,,,
60,2017-04-15T01:58:44Z,-27.16186667,151.26358333,0.00,,,,,,
61,2017-04-15T01:58:46Z,-27.16186667,151.26358333,0.00,,,,,,
62,2017-04-15T01:58:48Z,-27.16186667,151.26358333,0.00,,,,,,
63,2017-04-15T01:58:50Z,-27.16186667,151.26358333,0.00,,,,,,
64,2017-04-15T01:58:52Z,-27.16186667,151.26358333,0.00,,,,,,
65,2017-04-15T01:58:54Z,-27.16186667,151.26358333,0.00,,,,,,
66,2017-04-15T01:58:56Z,-27.16186667,151.26358333,0.00,,,,,,
67,2017-04-15T01:58:58Z,-27.16186667,151.26358333,0.00,,,,,,
68,2017-04-15T01:59:00Z,-27.16186667,151.26358333,0.00,,,,,,
69,2017-04-15T01:59:02Z,-27.16186667,151.26358333,0.00,,,,,,
70,2017-04-15T01:59:04Z,-27.16185000,151.26358333,0.00,,,,,,
71,2017-04-15T01:59:06Z,-27.16186667,151.26358333,0.00,,,,,,
72,2017-04-15T01:59:08Z,-27.16185000,151.26358333,0.00,,,,,,
73,2017-04-15T01:59:10Z,-27.16185000,151.26358333,0.00,,,,,,
74,2017-04-15T01:59:12Z,-27.16185000,151.26358333,0.00,,,,,,
75,2017-04-15T01:59:14Z,-27.16185000,151.26358333,0.00,,,,,,
76,2017-04-15T01:59:16Z,-27.16185000,151.26360000,0.00,,,,,,
77,2017-04-15T01:59:18Z,-27.16185000,151.26360000,0.00,,,,,,
78,2017-04-15T01:59:20Z,-27.16185000,151.26360000,0.00,,,,,,
79,2017-04-15T01:59:22Z,-27.16185000,151.26360000,0.00,,,,,,
80,2017-04-15T01:59:24Z,-27.16185000,151.26360000,0.00,,,,,,
81,2017-04-15T01:59:26Z,-27.16185000,151.26360000,0.00,,,,,,
82,2017-04-15T01:59:28Z,-27.16185000,151.26360000,0.00,,,,,,
83,2017-04-15T01:59:30Z,-27.16185000,151.26360000,0.00,,,,,,
84,2017-04-15T01:59:32Z,-27.16185000,151.26360000,0.00,,,,,,
85,2017-04-15T01:59:34Z,-27.16185000,151.26360000,0.00,,,,,,
86,2017-04-15T01:59:36Z,-27.16185000,151.26360000,0.00,,,,,,
87,2017-04-15T01:59:38Z,-27.16185000,151.26360000,0.00,,,,,,
88,2017-04-15T01:59:40Z,-27.16185000,151.26361667,0.00,,,,,,
89,2017-04-15T01:59:42Z,-27.16185000,151.26361667,0.00,,,,,,
90,2017-04-15T01:59:44Z,-27.16185000,151.26360000,0.00,,,,,,
91,2017-04-15T01:59:46Z,-27.16185000,151.26360000,0.00,,,,,,
92,2017-04-15T01:59:48Z,-27.16185000,151.26360000,0.00,,,,,,
93,2017-04-15T01:59:50Z,-27.16185000,151.26360000,0.00,,,,,,
94,2017-04-15T01:59:52Z,-27.16185000,151.26361667,0.00,,,,,,
95,2017-04-15T01:59:54Z,-27.16185000,151.26360000,0.00,,,,,,
96,2017-04-15T01:59:56Z,-27.16185000,151.26360000,0.00,,,,,,
97,2017-04-15T01:59:58Z,-27.16185000,151.26360000,0.00,,,,,,
